C:\Users\IdoYe\PycharmProjects\Research_Implementing\venv\Scripts\python.exe C:/Users/IdoYe/PycharmProjects/Research_Implementing/common/static_routing/multiple_matrices_MCF.py -p C:\Users\IdoYe\PycharmProjects\Research_Implementing\common\TMs_DB\ScaleFree70Nodes\ScaleFree70Nodes_tms_70X70_length_512_gravity_sparsity_0.3 -n 512
INFO:Creating Network Class
Network ScaleFree70Nodes has been created
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
  # Matrix    Congestion using multiple MCF - LP    Congestion using LP optimal    Ratio
       424                                1.4011                       1.11607   1.25538
       425                                1.3427                       1.08107   1.24201
       426                                1.4316                       1.18603   1.20705
       427                                1.6037                       1.11132   1.44306
       428                                1.4853                       1.25118   1.18712
       429                                1.4607                       1.17137   1.247
       430                                1.6002                       1.22181   1.3097
       431                                1.6619                       1.23133   1.34967
       432                                1.4573                       1.20714   1.20723
       433                                1.3227                       1.06888   1.23747
       434                                1.7875                       1.49097   1.19888
       435                                1.6504                       1.28061   1.28876
       436                                1.4739                       1.18805   1.24061
       437                                1.5616                       1.25275   1.24654
       438                                1.3909                       1.07339   1.2958
       439                                1.5865                       1.31554   1.20597
       440                                1.5625                       1.39129   1.12306
       441                                1.3145                       0.997449  1.31786
       442                                1.6721                       1.36303   1.22675
       443                                1.6901                       1.32771   1.27295
       444                                1.3821                       1.12373   1.22993
       445                                1.2977                       1.00829   1.28703
       446                                1.3586                       1.02577   1.32446
       447                                1.5147                       1.24646   1.2152
       448                                1.5089                       1.22488   1.23187
       449                                1.6289                       1.28571   1.26692
       450                                1.7266                       1.44663   1.19354
       451                                1.2818                       0.994473  1.28892
       452                                1.6607                       1.29945   1.278
       453                                1.4103                       1.16395   1.21165
       454                                1.4606                       1.19242   1.2249
       455                                1.391                        1.19898   1.16015
       456                                1.5813                       1.21075   1.30605
       457                                1.6246                       1.3466    1.20645
       458                                1.4225                       1.17959   1.20593
       459                                1.3701                       1.02911   1.33134
       460                                1.4478                       1.11862   1.29427
       461                                1.4276                       1.10459   1.29242
       462                                1.5153                       1.29239   1.17248
       463                                1.5489                       1.2517    1.23744
       464                                1.4634                       1.11888   1.30791
       465                                1.5504                       1.24864   1.24167
       466                                1.3198                       1.03061   1.2806
       467                                1.6435                       1.29867   1.26553
       468                                1.4869                       1.20007   1.23901
       469                                1.2698                       1.01403   1.25223
       470                                1.6189                       1.2374    1.30831
       471                                1.7619                       1.5522    1.1351
       472                                1.2918                       0.993398  1.30039
       473                                1.1313                       0.927721  1.21944
       474                                1.4739                       1.15408   1.27712
