C:\Users\IdoYe\PycharmProjects\Research_Implementing\venv\Scripts\python.exe C:/Users/IdoYe/PycharmProjects/Research_Implementing/Link_State_Routing_PEFT/MCF_problem/multiple_matrices_MCF.py -p C:\Users\IdoYe\PycharmProjects\Research_Implementing\common\TMs_DB\ScaleFree70Nodes\ScaleFree70Nodes_tms_70X70_length_20000_gravity_sparsity_0.3 -n 512
INFO:Creating Network Class
Network ScaleFree70Nodes has been created
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
  # Matrix    Congestion using multiple MCF - LP    Congestion using LP optimal    Ratio
       351                                1.5941                       1.27988   1.2455
       352                                1.3252                       1.0102    1.31181
       353                                1.5189                       1.20461   1.2609
       354                                1.4586                       1.20982   1.20563
       355                                1.2747                       1.10918   1.14922
       356                                1.4015                       1.27245   1.10142
       357                                1.5066                       1.18603   1.27029
       358                                1.6435                       1.23406   1.33179
       359                                1.4653                       1.26766   1.15591
       360                                1.5174                       1.30726   1.16075
       361                                1.3209                       1.03008   1.28233
       362                                1.5435                       1.20408   1.28189
       363                                1.4334                       1.05816   1.35461
       364                                1.2272                       1.0106    1.21433
       365                                1.636                        1.31868   1.24063
       366                                1.3019                       0.981293  1.32672
       367                                1.4884                       1.18708   1.25384
       368                                1.6587                       1.21991   1.35969
       369                                1.4316                       1.19898   1.19401
       370                                1.1902                       0.88186   1.34965
       371                                1.613                        1.23888   1.30198
       372                                1.3709                       1.05249   1.30252
       373                                1.7418                       1.44348   1.20666
       374                                1.3648                       1.05918   1.28854
       375                                1.4379                       1.1668    1.23235
       376                                1.0854                       0.903061  1.20191
       377                                1.3745                       0.963008  1.4273
       378                                1.2041                       1.05867   1.13737
       379                                1.5225                       1.27708   1.19217
       380                                1.3442                       1.06706   1.25973
       381                                1.678                        1.23852   1.35484
       382                                1.5697                       1.32289   1.18657
       383                                1.2035                       0.956633  1.25806
       384                                1.6045                       1.25574   1.27773
       385                                1.1864                       0.954546  1.24289
       386                                1.6131                       1.34223   1.20181
       387                                1.7534                       1.35232   1.29659
       388                                1.5924                       1.21625   1.30927
       389                                1.5314                       1.24686   1.22821
       390                                1.5572                       1.2551    1.2407
       391                                1.2429                       0.992347  1.25249
       392                                1.8453                       1.41797   1.30136
       393                                1.527                        1.27983   1.19313
       394                                1.4167                       1.05329   1.34503
       395                                1.3186                       1.08546   1.21479
       396                                1.2378                       0.991072  1.24895
       397                                1.4176                       1.19388   1.18739
       398                                1.6143                       1.27721   1.26393
       399                                1.3827                       1.02211   1.35279
       400                                1.4191                       1.19231   1.19021
       401                                1.497                        1.17028   1.27918
       402                                1.4272                       1.25893   1.13366
       403                                1.4892                       1.13305   1.31433
       404                                1.2201                       1.04464   1.16796
       405                                1.6552                       1.42465   1.16183
       406                                1.2771                       1.13776   1.12247
       407                                1.3166                       1.15689   1.13805
       408                                1.5271                       1.12031   1.36311
       409                                1.6376                       1.21549   1.34728
       410                                1.5103                       1.18963   1.26956
       411                                1.2503                       0.968043  1.29157
       412                                1.427                        1.14477   1.24654
       413                                1.3744                       1.05839   1.29858
       414                                1.4542                       1.2275    1.18468
       415                                1.449                        1.2568    1.15293
       416                                1.1959                       1.1       1.08718
       417                                1.5818                       1.2495    1.26594
       418                                1.482                        1.21193   1.22284
       419                                1.2207                       0.971489  1.25652
       420                                1.7376                       1.43328   1.21232
       421                                1.4462                       1.13565   1.27346
       422                                1.1226                       0.885204  1.26818
       423                                1.3928                       1.01871   1.36722
       424                                1.258                        1.04252   1.20669
       425                                1.5083                       1.17432   1.2844
       426                                1.417                        1.06649   1.32866
       427                                1.4151                       1.15816   1.22185
       428                                1.3081                       1.01541   1.28825
       429                                1.455                        1.21429   1.19824
       430                                1.5945                       1.21312   1.31438
       431                                1.4134                       0.977129  1.44648
       432                                1.3341                       1.00835   1.32305
       433                                1.6883                       1.29154   1.30719
       434                                1.6667                       1.33461   1.24883
       435                                1.8157                       1.40416   1.29309
       436                                1.6871                       1.26887   1.32961
       437                                1.8056                       1.4375    1.25607
       438                                1.4635                       1.12013   1.30654
       439                                1.4307                       1.08196   1.32232
       440                                1.5705                       1.3125    1.19657
       441                                1.4882                       0.963767  1.54415
       442                                1.5276                       1.1427    1.33683
       443                                1.3954                       1.14168   1.22223
       444                                1.391                        1.08776   1.27878
       445                                1.3362                       0.994898  1.34305
       446                                1.5633                       1.17347   1.3322
       447                                1.5547                       1.17936   1.31826
       448                                1.5549                       1.14564   1.35723
       449                                1.2842                       1.16582   1.10155
       450                                1.2797                       1.07015   1.19581
       451                                1.2448                       0.964043  1.29123
       452                                1.6264                       1.19278   1.36353
       453                                1.2904                       1.14031   1.13163
       454                                1.1569                       0.920918  1.25625
       455                                1.4739                       1.2034    1.22478
       456                                1.4316                       1.07179   1.33571
       457                                1.2433                       0.915121  1.35862
       458                                1.5147                       1.16446   1.30078
       459                                1.2085                       1.07313   1.12615
       460                                1.2704                       1.01225   1.25503
       461                                1.4398                       1.14443   1.2581
       462                                1.3515                       1.09949   1.22921
       463                                1.6933                       1.26134   1.34246
       464                                1.348                        1.12177   1.20167
       465                                1.4786                       1.23197   1.20019
       466                                1.7813                       1.57143   1.13355
       467                                1.2844                       0.988632  1.29917
       468                                1.5057                       1.13958   1.32128
       469                                1.244                        1.02551   1.21305
       470                                1.4692                       1.18963   1.23501
       471                                1.3983                       1.16383   1.20146
       472                                1.3518                       1.12341   1.2033
       473                                1.5791                       1.20121   1.31459
       474                                1.4295                       1.10777   1.29043
       475                                1.4614                       1.14892   1.27198
       476                                0.9966                       0.822066  1.21231
       477                                1.4418                       1.08947   1.32339
       478                                1.5258                       1.2971    1.17632
       479                                1.6066                       1.31952   1.21757
       480                                1.2575                       1.07449   1.17032
       481                                1.4852                       1.17124   1.26806
       482                                1.5098                       1.23287   1.22462
       483                                1.3514                       1.06463   1.26937
       484                                1.3492                       1.14116   1.18231
       485                                1.5354                       1.18639   1.29418
       486                                1.4585                       1.05353   1.3844
       487                                1.3555                       1.18404   1.14481
       488                                1.4651                       1.1966    1.22439
       489                                1.359                        1.06554   1.27541
       490                                1.2748                       1.05937   1.20336
       491                                1.4063                       1.17007   1.2019
       492                                1.2332                       0.951328  1.29629
       493                                1.4891                       1.1876    1.25388
       494                                1.6614                       1.28249   1.29545
       495                                1.4897                       1.1531    1.29191
       496                                1.4334                       1.16199   1.23357
       497                                1.4287                       1.08133   1.32124
       498                                1.2536                       1.00531   1.24698
       499                                1.3709                       1.09286   1.25442
       500                                1.3785                       1.10332   1.24941
       501                                1.578                        1.21265   1.30128
       502                                1.4453                       1.11054   1.30143
       503                                1.3638                       1.11735   1.22057
       504                                1.6467                       1.24755   1.31994
       505                                1.6641                       1.28611   1.2939
       506                                1.48                         1.21122   1.2219
       507                                1.5888                       1.323     1.20091
       508                                1.5248                       1.23151   1.23816
       509                                1.5542                       1.27551   1.21849
       510                                1.4791                       1.13061   1.30823
       511                                1.3516                       1.13662   1.18914
LP Expected Objective :1.457768037237745

Process finished with exit code 0
